Ssp,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,bio4,bio5,bio15,bio16,bio17,bioalt,lon,lat
cinereus,2.158378887,1.371008725,-0.208449468,-0.388115504,2.101425711,0.3576489,-0.254076236,-1.482528684,-0.094918144,-0.627686051,0.565519889,0.464364937,0.407640839,0.4006959,-0.229571039,-0.098408712,247.7657695,30.79999924,111.6746996,754,23,1244,-104.7658111,20.5047011
cinereus,0.846803779,0.48349742,-0.685207387,0.466297924,-1.338879725,0.035674134,-0.253566037,0.502006612,-0.496114028,-0.264746339,-0.527710997,-0.331412042,0.049354888,0.012620771,-0.329544373,-0.399921013,243.2061653,31.5,118.4030365,735,17,1389,-104.4749976,21.27785606
cinereus,4.263228372,-1.063016079,-0.078499797,1.910547307,0.242832843,-1.725488103,-0.752857707,1.162875434,1.710917742,0.149596696,-1.03644104,-0.676548909,0.86611558,0.561171158,0.137906603,-0.231859599,243.2061653,31.5,118.4030365,735,17,1389,-104.4749976,21.27785606
cinereus,0.990128469,0.829197559,-0.163755859,0.626194269,0.305488605,0.556144274,0.23373765,-0.068463239,0.127345609,-0.857426729,0.29482542,-0.620063213,0.429016957,0.385711163,0.511548144,0.016559281,291.9435868,29,55.64945598,166,42,2013,-99.8910556,24.2698348
cinereus,0.006782256,0.246957617,-0.451795019,0.750219461,-0.622285115,0.801984186,-0.293731875,-0.101577394,-0.196513987,-1.561405051,0.725419337,-0.935764326,-0.406065607,-0.696428223,1.066150735,-0.175175598,278.4113514,27.89999962,56.99458592,164,42,2160,-99.96028,24.07394
cinereus,3.127844948,0.744219882,-0.757515994,0.666696605,-0.672342644,0.343010579,-0.883839631,-0.759368872,0.52995612,-0.787915005,-0.859159804,-0.207733848,1.01702774,-0.215590485,-0.240060656,0.585968231,152.3670478,30.10000038,91.21803434,341,15,1538,-96.71323,17.05423
cinereus,1.56074686,0.680189179,0.5731102,1.858718648,0.597334006,-0.071028228,0.609289107,1.774938525,-0.297716548,0.698947932,-0.966013336,-0.081200665,-1.99094391,1.742488395,-0.292566779,0.410545289,152.3670478,30.10000038,91.21803434,341,15,1538,-96.71323,17.05423
cinereus,1.657526048,0.53880394,-0.065866348,-0.340138531,-0.520517825,1.434470202,1.208922474,-0.16814793,-0.372803814,0.419789229,-1.19335255,-0.056059002,0.432466444,-0.025828279,0.06859483,-0.129852889,152.3670478,30.10000038,91.21803434,341,15,1538,-96.71323,17.05423
cinereus,3.644030493,-0.329717867,-0.057380157,-0.478484721,0.661569305,-0.933654614,0.99446017,-0.557029777,-1.939872923,0.555487033,-0.197452915,-0.096360159,0.022203933,-0.284984166,0.00303815,0.076315737,678.6822992,39.40000153,61.03070928,59,4,310,-113.4386424,31.56231098
cinereus,2.497533824,1.016872143,-0.064350179,1.02090933,0.880222762,0.287014213,-0.760992225,-1.054862494,0.671649799,0.883556548,0.167573757,0.414082337,0.060415666,0.516004659,-0.297012264,-0.103392524,634.781517,36.90000153,94.74128945,267,26,959,-110.856896,30.900964
