Number,Museum,Genus,Species,Sex,Prep,Country,Locality1,Isl_Main,GSL_24,ROST.LEN_26,LACR.W_30,POSTORB.W_32,MASTOID_34,C1.C1_37,M3.M3_38,GLENO.L_44,MAX.TOOTH_h,DEN.L_46,LOW.TR_49,MOM1.COR_52,MOM2.ANG_53,DEN.TH_57,CON.L_60,MASS.MUSC_c,lat,lon,bio15,bio16,bio17,bio4,bio5,bio6,bioalt
13128,UF,Lasiurus,cinereus,M,Recent,USA,Florida,Main,16.79,6.74,8.23,5.13,10.23,4.29,5.2,1.91,5.34,12.92,6.62,3.97,2.85,2.1,2.1,4.4,28.62444,-81.54361,50.03313958,532,171,483.4526965,33.09999847,9,39
31008,UF,Lasiurus,cinereus,M,Recent,USA,Florida,Main,16.71,6.75,8.38,5.19,9.92,4.11,4.93,1.85,5.34,12.52,6.45,3.6,2.84,1.99,2.08,4.1,30.27420366,-85.9019606,29.26769528,567,297,626.211561,33.90000153,5,15
276572,USNM,Lasiurus,cinereus,F,Recent,USA,Georgia,Main,16.92,6.36,8.98,5.36,10.38,4.46,5.46,2.01,4.91,13.94,7.35,3.76,2.9,1.82,1.7,4.77,30.70361884,-84.19106303,25.16065102,470,256,629.6937419,33.90000153,3.599999905,83
15345,USNM,Lasiurus,cinereus,NA,Recent,USA,Georgia,Main,16.53,6.17,8.49,5.4,10.53,4.13,5.23,2.02,5.05,12.58,6.22,3.95,2.86,2.01,1.79,4.28,32.07293897,-81.03138475,35.68625117,474,215,649.0879392,33.70000076,4.5,2
78358,ROM,Lasiurus,cinereus,F,Recent,USA,Indiana,Main,17.01,6.57,9.36,5.04,10.08,4.59,5.13,1.93,5.18,12.57,7.2,3.84,2.99,2.09,1.61,4.07,41.05,-86.616667,25.3799878,303,156,1010.708566,28,11.60000038,220
78359,ROM,Lasiurus,cinereus,F,Recent,USA,Indiana,Main,17.46,6.53,8.99,5.03,10.41,4.43,5.07,1.96,5.25,13.13,7.14,3.96,3.12,1.73,1.92,4.18,40.3,-86.916667,24.81450771,302,167,1003.284275,28.60000038,10.69999981,215
78360,ROM,Lasiurus,cinereus,M,Recent,USA,Indiana,Main,17.22,6.99,9.04,5.49,10.54,4.5,5.23,1.99,5.14,12.58,7.05,4.11,2.96,2.06,1.95,4.05,40.4166667,-86.9,25.89485173,296,159,1008.171441,28.70000076,10.39999962,165
617,MNCN,Lasiurus,cinereus,F,Recent,USA,Kansas,Main,16.76,6.62,9.09,5.1,10.06,4.13,4.97,1.9,5.09,12.71,7.17,3.47,3.08,1.78,1.86,3.98,38.97160622,-95.20112106,44.33673752,373,103,1015.682608,32.09999847,8.199999809,253
11185,UF,Lasiurus,cinereus,NA,Recent,USA,Kentucky,Main,17.2,6.32,8.27,5.24,9.92,4.51,4.84,1.82,5.01,12.59,6.35,3.64,2.81,1.9,2.04,4.05,36.60833,-83.71667,12.41047003,357,275,826.785474,30.89999962,5.599999905,350
176197,AMNH,Lasiurus,cinereus,F,Recent,USA,Maine,Main,16.99,7.29,9.1,5.51,10.69,4.47,5.66,1.85,5.15,12.73,6.8,3.97,3.17,2.15,1.82,4.1,45.937001,-70.215303,22.33522013,338,188,1094.93464,21.20000076,18.70000076,484
347569,USNM,Lasiurus,cinereus,F,Recent,USA,Maryland,Main,16.55,6.55,8.66,5.29,10.08,4.77,5.39,1.94,5.09,12.93,6.42,3.67,2.79,2.05,1.72,4.23,38.85822381,-76.93482616,11.57316653,304,237,870.6592563,30.20000076,5,87
398462,USNM,Lasiurus,cinereus,F,Recent,USA,Maryland,Main,17.67,6.63,9.43,5.48,10.58,4.71,6.04,2.06,5.01,13.94,7.14,3.75,3.19,1.82,2.04,4.35,39.17939592,-77.2588621,12.28725275,296,220,883.3094581,30,6.099999905,149
137322,AMNH,Lasiurus,cinereus,NA,Recent,USA,New York,Main,16.88,6.78,8.99,5.41,10.17,4.27,4.99,1.8,5.14,11.68,6.55,3.8,3.02,2.03,1.67,4.05,41.312753,-74.00675,9.738565086,355,289,921.6298067,26.39999962,9.600000381,357
618,MNCN,Lasiurus,cinereus,F,Recent,USA,New York,Main,16.75,6.54,9.08,5.43,10.4,4.49,5.3,1.79,5.13,12.9,6.69,3.9,3.04,2.3,1.92,4.11,41.67268705,-73.93154225,13.47378787,322,231,951.2204082,28.29999924,10.30000019,57
