Number,Museum,Genus,Species,Sex,Prep,Country,Locality1,Isl_Main,GSL_24,ROST.LEN_26,LACR.W_30,POSTORB.W_32,MASTOID_34,C1.C1_37,M3.M3_38,GLENO.L_44,MAX.TOOTH_h,DEN.L_46,LOW.TR_49,MOM1.COR_52,MOM2.ANG_53,DEN.TH_57,CON.L_60,MASS.MUSC_c,lat,lon,bio15,bio16,bio17,bio4,bio5,bio6,bioalt
329597,USNM,Lasiurus,cinereus,M,Recent,Mexico,Guerrero,Main,16.36,6.74,8.71,5.13,10.36,4.68,5.01,1.91,4.92,12.87,6.07,3.69,2.81,1.97,1.7,4.16,17.55653684,-99.61099011,102.5830907,765,29,135.0589202,26.70000076,9,2186
1270,AMNH,Lasiurus,cinereus,M,Recent,Mexico,Jalisco,Main,16.2,6.27,8.3,4.88,9.81,4.18,4.72,1.96,4.85,12.59,6.38,3.65,3.04,2.01,1.77,4.59,20.659538,-103.349438,117.4254935,646,15,257.1728743,31.20000076,9.600000381,1546
27327,AMNH,Lasiurus,cinereus,NA,Recent,Mexico,Jalisco,Main,16.09,6.39,8.62,5.46,9.91,4.28,5.1,1.92,4.85,12.84,6.6,3.77,3.02,2.07,1.77,4.31,20.659538,-103.349438,117.4254935,646,15,257.1728743,31.20000076,9.600000381,1546
92950,KU,Lasiurus,cinereus,M,Recent,Mexico,Jalisco,Main,16.13,6.03,8.4,5.37,9.59,4.34,5.23,1.76,5.02,12.89,6.26,3.72,2.79,1.55,1.64,4.05,20.2718462,-104.7135062,110.918842,858,23,233.651429,25.79999924,6.900000095,1622
98735,KU,Lasiurus,cinereus,M,Recent,Mexico,Jalisco,Main,16.41,6.28,8.59,5.31,10.06,4.33,5.27,1.79,4.86,12.86,6.27,3.65,2.63,1.88,1.53,4.12,20.1622879,-104.6912567,109.8827009,974,27,183.6307853,20.5,6.199999809,2443
98736,KU,Lasiurus,cinereus,M,Recent,Mexico,Jalisco,Main,16.74,5.98,8.59,5.26,10.48,4.96,5.52,1.87,5,13.29,6.45,3.88,2.9,1.45,1.78,4.46,20.1622879,-104.6912567,109.8827009,974,27,183.6307853,20.5,6.199999809,2443
98737,KU,Lasiurus,cinereus,M,Recent,Mexico,Jalisco,Main,16.31,6.12,8.35,5.11,10.3,4.28,5.17,1.96,4.95,12.56,6.2,3.72,3.03,1.55,1.8,4.42,20.1622879,-104.6912567,109.8827009,974,27,183.6307853,20.5,6.199999809,2443
100398,KU,Lasiurus,cinereus,F,Recent,Mexico,Jalisco,Main,17.06,6.3,8.6,5.43,10.74,4.37,5.16,1.91,5.17,13.49,6.5,3.87,2.86,1.48,1.73,4.56,20.5047011,-104.7658111,111.6746996,754,23,247.7657695,30.79999924,7,1244
508889,USNM,Lasiurus,cinereus,F,Recent,Mexico,Nayarit,Main,16,6.52,8.24,5.42,9.96,4.26,5.05,1.94,4.77,12.37,6.63,3.64,3.01,2.1,1.73,4.07,21.27785606,-104.4749976,118.4030365,735,17,243.2061653,31.5,9.199999809,1389
508890,USNM,Lasiurus,cinereus,F,Recent,Mexico,Nayarit,Main,17.38,7.12,9.04,4.95,10.15,4.7,5.69,2.01,4.49,13.83,7.23,3.67,3.22,2.05,2.06,4.66,21.27785606,-104.4749976,118.4030365,735,17,243.2061653,31.5,9.199999809,1389
98486,KU,Lasiurus,cinereus,M,Recent,Mexico,Nuevo Leon,Main,17,6.37,8.61,5.34,10.08,4.29,5.1,1.89,4.74,12.6,6.25,3.83,2.92,1.83,1.64,4.3,24.2698348,-99.8910556,55.64945598,166,42,291.9435868,29,3.299999952,2013
98487,KU,Lasiurus,cinereus,M,Recent,Mexico,Nuevo Leon,Main,16.96,6,8.33,5.39,9.55,4.21,4.66,1.85,4.77,12.54,6.15,3.85,3.15,1.96,1.62,4.16,24.07394,-99.96028,56.99458592,164,42,278.4113514,27.89999962,3.400000095,2160
205168,AMNH,Lasiurus,cinereus,M,Recent,Mexico,Oaxaca,Main,16.5,6.89,9.2,5.51,10.35,4.49,5.02,1.91,4.89,12.92,6.55,3.71,3.08,2.03,1.9,4.66,17.05423,-96.71323,91.21803434,341,15,152.3670478,30.10000038,12,1538
207428,AMNH,Lasiurus,cinereus,M,Recent,Mexico,Oaxaca,Main,16,6.47,8.17,5.03,9.89,4.12,6.63,2.02,4.89,12.67,6.38,3.79,3.05,1.98,1.64,4.22,17.05423,-96.71323,91.21803434,341,15,152.3670478,30.10000038,12,1538
208907,AMNH,Lasiurus,cinereus,M,Recent,Mexico,Oaxaca,Main,16.23,6.91,8.56,5.41,10.14,4.54,5.28,1.81,5.11,12.65,6.6,3.91,2.7,2.08,1.65,4.16,17.05423,-96.71323,91.21803434,341,15,152.3670478,30.10000038,12,1538
13132,EBD,Lasiurus,cinereus,F,Recent,Mexico,Sonora,Main,16.94,7,9.13,5.2,10.22,4.6,5.22,2.08,5.53,13.44,7.35,3.84,2.95,1.78,1.71,4.14,31.56231098,-113.4386424,61.03070928,59,4,678.6822992,39.40000153,5.400000095,310
80297,KU,Lasiurus,cinereus,M,Recent,Mexico,Sonora,Main,16.87,6.4,8.31,5.26,10.56,4.5,5.46,1.96,5.11,13.27,6.26,3.69,2.86,1.79,1.93,4.59,30.900964,-110.856896,94.74128945,267,26,634.781517,36.90000153,0.400000006,959
166058,AMNH,Lasiurus,cinereus,NA,Recent,Mexico,Tamaulipas,Main,15.91,6.16,7.49,5.15,9.98,4.33,4.87,1.86,5.15,13.27,6.27,3.65,2.66,1.73,1.75,4.07,24.266949,-98.836301,65.93065019,271,60,506.5098824,36.40000153,8.800000191,227
38610,USNM,Lasiurus,cinereus,F,Recent,Mexico,Tamaulipas,Main,16.03,6.12,8.27,4.75,9.73,4.25,4.62,1.9,5.23,12.99,6.58,3.81,2.81,2.08,1.71,4.36,25.83997981,-97.56404212,58.61474995,298,82,504.4010893,34.40000153,10.80000019,12
82921,KU,Lasiurus,cinereus,M,Recent,Mexico,Veracruz,Main,16.86,6.61,8.21,5.32,10.16,4.42,5.05,1.75,5.11,12.99,6.22,3.81,2.82,1.74,1.79,4.51,20.4316667,-98.3791667,80.06203282,640,88,192.5290208,24.20000076,5.699999809,2029
142266,AMNH,Lasiurus,cinereus,NA,Recent,Bermuda,Devonshire Marsh,Island,17.01,7.01,9.12,5.23,10.69,4.49,5.38,1.96,5.15,13.79,6.85,4.14,3.15,2.01,1.97,4.77,32.308611,-64.754444,22.22158593,447,273,344.586931,29.70000076,15.39999962,6
207452,AMNH,Lasiurus,cinereus,NA,Recent,Bermuda,Devonshire Parish,Island,17.04,6.92,8.45,5.25,10.01,4.2,5.1,1.95,5.14,13.33,6.77,4.1,3.07,1.99,1.78,4.32,32.308611,-64.754444,22.22158593,447,273,344.586931,29.70000076,15.39999962,6
217088,AMNH,Lasiurus,cinereus,NA,Recent,Bermuda,Pembroke Park,Island,16.94,6.98,8.73,5,10.31,4.32,5.48,1.91,5.18,12.71,6.79,4.13,3.04,2.01,2.06,4.07,32.300767,-64.796263,21.95010811,448,274,341.5813779,29.60000038,15.5,12
