"Number","Museum","Genus","Species","Ssp","Sex","Prep","Country","Locality1","Isl_Main","GSL_24","ROST.LEN_26","LACR.W_30","POSTORB.W_32","MASTOID_34","C1.C1_37","M3.M3_38","GLENO.L_44","MAX.TOOTH_h","DEN.L_46","LOW.TR_49","MOM1.COR_52","MOM2.ANG_53","DEN.TH_57","CON.L_60","MASS.MUSC_c","Country1","lat","lon","bio4","bio5","bio6","bio15","bio16","bio17","bioalt"
145371,"MVZ","Lasiurus","cinereus","villosissimus","F","Recent","Galapagos","Conway Bay, Isla Santa Cruz","Island",15.09,5.74,7.86,5.11,9.47,3.84,4.82,1.58,4.75,12.12,6.57,3.54,2.54,1.62,1.72,3.74,"Galapagos",-0.54824213,-90.50765146,157.407981061508,30.2000007629395,17.5,103.938157901056,113,5,24
268078,"AMNH","Lasiurus","cinereus","villosissimus","M","Recent","Galapagos","Santa Cruz","Island",14.67,5.86,7.54,5.22,9.74,3.85,4.82,1.7,4.59,11.71,5.84,5.24,2.5,1.79,1.64,3.66,"Galapagos",-0.639359,-90.337189,171.192338218187,26.1000003814697,14.1999998092651,72.3908287920466,174,32,688
268079,"AMNH","Lasiurus","cinereus","villosissimus","F","Recent","Galapagos","Santa Cruz","Island",15.97,5.87,7.96,5.32,9.81,3.94,4.75,1.75,4.51,12.12,6.12,3.32,2.71,1.76,1.74,3.66,"Galapagos",-0.639359,-90.337189,171.192338218187,26.1000003814697,14.1999998092651,72.3908287920466,174,32,688
268080,"AMNH","Lasiurus","cinereus","villosissimus","M","Recent","Galapagos","Santa Cruz","Island",15.54,5.81,7.77,5.5,9.57,3.92,4.57,1.76,4.75,11.85,5.72,3.29,2.51,1.73,1.62,3.84,"Galapagos",-0.639359,-90.337189,171.192338218187,26.1000003814697,14.1999998092651,72.3908287920466,174,32,688
35843,"ROM","Lasiurus","cinereus","villosissimus","F","Recent","Galapagos","Santa Cruz","Island",14.83,5.47,7.25,4.78,9.16,3.27,3.74,1.77,4.59,11.18,5.96,3.29,2.71,1.73,1.29,3.66,"Galapagos",-0.639359,-90.337189,171.192338218187,26.1000003814697,14.1999998092651,72.3908287920466,174,32,688
10864,"FMNH","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Baja California","Main",15.67,6.06,7.83,5.4,9.95,4.38,5.17,1.85,5.2,12.1,6.02,3.65,2.72,1.68,1.6,4.16,"Mexico",23.81368341,-110.0615313,431.963450561711,34.2000007629395,8,136.606135893072,274,4,445
17515,"AMNH","Lasiurus","cinereus","cinereus","F","Recent","Mexico","Chihuahua","Main",17.02,6.97,8.65,5.22,10.29,4.2,5.19,2.04,4.86,13.28,6.67,4.05,3.19,2.08,1.66,4.36,"Mexico",29.970841,-108.344498,600.095938793763,28.8999996185303,-6.30000019073486,89.9485255025096,241,20,2148
73579,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.6,5.84,8.26,5.27,9.98,4.52,5.16,2.04,4.83,13.07,6.39,3.92,2.9,1.75,1.72,4.61,"Mexico",29.51919,-104.49776,760.165483336621,40.4000015258789,1.5,79.7374043406397,144,18,811
73580,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.43,6.06,8.45,5.42,10.32,4.21,5.04,1.79,4.89,13.13,6.18,3.76,3,1.6,1.81,4.07,"Mexico",29.51919,-104.49776,760.165483336621,40.4000015258789,1.5,79.7374043406397,144,18,811
73581,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.79,6.18,8.61,5,9.94,4.61,5.28,1.88,4.9,12.37,6.76,3.69,2.66,2,1.65,3.94,"Mexico",29.51919,-104.49776,760.165483336621,40.4000015258789,1.5,79.7374043406397,144,18,811
73582,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.32,5.92,8.06,5.25,10.1,4.59,5.64,1.87,4.85,12.78,6.13,3.98,2.8,1.65,1.71,4.22,"Mexico",29.51919,-104.49776,760.165483336621,40.4000015258789,1.5,79.7374043406397,144,18,811
73583,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.63,6.42,8.89,5,10.23,4.63,5.33,1.84,4.74,12.89,6.4,3.99,3.01,1.88,1.69,4.34,"Mexico",29.51919,-104.49776,760.165483336621,40.4000015258789,1.5,79.7374043406397,144,18,811
73584,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.76,6.53,8.44,5.11,10.08,4.34,4.95,1.72,5.12,13.26,6.2,3.78,3.01,1.82,1.84,4.24,"Mexico",29.51919,-104.49776,760.165483336621,40.4000015258789,1.5,79.7374043406397,144,18,811
73585,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.17,6.02,8.06,5.08,9.75,4.5,5.07,1.8,4.57,12.68,6.13,3.63,2.8,2,1.81,4.39,"Mexico",29.51919,-104.49776,760.165483336621,40.4000015258789,1.5,79.7374043406397,144,18,811
73586,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.11,5.82,8.09,5.15,9.96,4.31,5.59,1.73,4.78,12.61,6.28,3.71,2.66,1.63,1.56,4.23,"Mexico",29.51919,-104.49776,760.165483336621,40.4000015258789,1.5,79.7374043406397,144,18,811
73588,"KU","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.23,5.88,7.93,5.23,9.34,4.22,5.24,1.83,4.89,11.93,5.91,3.7,2.7,1.51,1.6,3.8,"Mexico",29.51919,-104.49776,760.165483336621,40.4000015258789,1.5,79.7374043406397,144,18,811
13835,"LACM","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.07,6.13,8.75,5.37,10.06,4.34,4.83,1.75,4.85,12.56,7.23,3.92,2.82,1.78,1.73,4.16,"Mexico",26.3522361,-106.7072039,421.12853380827,27.8999996185303,-1.39999997615814,101.850277525852,553,35,2450
121716,"MVZ","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.43,6.39,8.97,5.28,10.14,4.28,4.89,1.67,4.92,12.76,7.05,3.79,2.87,1.73,1.75,3.79,"Mexico",28.72566834,-106.0872877,611.201618804204,33.7999992370605,1.29999995231628,108.336796603854,277,16,1434
124780,"MVZ","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Chihuahua","Main",16.35,6.12,8.46,5.1,10.13,4.22,5.07,1.77,5.05,12.84,6.97,3.97,3.06,1.63,1.89,4.31,"Mexico",29.44365803,-106.8165407,594.122089082463,30.5,-3.59999990463257,107.453392437054,305,20,2210
40831,"KU","Lasiurus","cinereus","cinereus",NA,"Recent","Mexico","Coahuila","Main",16.97,6.72,8.59,5.56,10.33,4.74,5.34,1.84,5.15,13.28,6.37,3.81,3.13,1.69,1.84,4.36,"Mexico",26.531652,-101.256541,557.926849837598,34,4.80000019073486,64.2719069418549,144,28,840
44746,"KU","Lasiurus","cinereus","cinereus","F","Recent","Mexico","Coahuila","Main",17.27,6.74,8.68,5.08,10.46,5.04,6.01,1.84,5.38,1.54,6.67,3.79,3.11,1.77,1.77,4.39,"Mexico",28.97925,-101.1836,674.396474526718,36,3.79999995231628,61.2927789543717,201,43,431
13022,"EBD","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Durango","Main",15.5,6.27,8.71,5.22,10.1,4.18,5.2,1.8,4.83,12.62,7.06,3.75,2.65,1.77,1.75,3.7,"Mexico",24.02142991,-104.7129432,358.949431507566,29.6000003814697,2.90000009536743,105.007288376783,360,12,1946
329591,"USNM","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Guerrero","Main",16.29,6.85,8.34,5.17,10.06,4.85,5.27,1.82,5.25,12.61,7.28,3.57,3.13,1.64,1.73,4.07,"Mexico",17.55653684,-99.61099011,135.058920201234,26.7000007629395,9,102.58309068646,765,29,2186
329597,"USNM","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Guerrero","Main",16.36,6.74,8.71,5.13,10.36,4.68,5.01,1.91,4.92,12.87,6.07,3.69,2.81,1.97,1.7,4.16,"Mexico",17.55653684,-99.61099011,135.058920201234,26.7000007629395,9,102.58309068646,765,29,2186
1270,"AMNH","Lasiurus","cinereus","cinereus","M","Recent","Mexico","Jalisco","Main",16.2,6.27,8.3,4.88,9.81,4.18,4.72,1.96,4.85,12.59,6.38,3.65,3.04,2.01,1.77,4.59,"Mexico",20.659538,-103.349438,257.17287431096,31.2000007629395,9.60000038146973,117.425493451121,646,15,1546
